Name,Age,Income,Employment_Status,Loan_Amount,Credit_Score,Debt_To_Income,Loan_Term,Address,Contact_Info,Eligibility
User_36,57,137250,Unemployed,48363,677,0.31,36,Address_36,user36@email.com,Eligible
User_37,27,141553,Employed,31201,487,0.34,36,Address_37,user37@email.com,Eligible
User_38,41,68872,Self-Employed,24715,529,0.4,24,Address_38,user38@email.com,Eligible
User_39,29,71197,Self-Employed,34309,418,0.35,12,Address_39,user39@email.com,Eligible
User_40,59,80180,Self-Employed,20078,455,0.34,36,Address_40,user40@email.com,Eligible
User_41,38,48710,Self-Employed,10105,764,0.12,24,Address_41,user41@email.com,Eligible
User_42,24,54486,Unemployed,34312,403,0.25,60,Address_42,user42@email.com,Eligible
User_43,45,96907,Unemployed,7839,801,0.19,36,Address_43,user43@email.com,Eligible
User_44,34,96895,Unemployed,8384,474,0.21,24,Address_44,user44@email.com,Not Eligible
User_45,29,89435,Unemployed,48619,720,0.32,36,Address_45,user45@email.com,Needs Review
User_46,46,65631,Unemployed,47821,433,0.18,12,Address_46,user46@email.com,Not Eligible
User_47,22,126532,Self-Employed,18493,690,0.22,12,Address_47,user47@email.com,Eligible
User_48,40,45103,Self-Employed,22069,800,0.19,60,Address_48,user48@email.com,Not Eligible
User_49,48,89772,Self-Employed,12531,332,0.48,36,Address_49,user49@email.com,Not Eligible
User_50,27,39382,Self-Employed,42051,354,0.48,24,Address_50,user50@email.com,Eligible
User_51,64,109291,Unemployed,12736,818,0.34,60,Address_51,user51@email.com,Eligible
User_52,28,126195,Unemployed,12710,311,0.47,36,Address_52,user52@email.com,Not Eligible
User_53,55,28756,Unemployed,6619,827,0.41,60,Address_53,user53@email.com,Eligible
User_54,34,45609,Employed,18975,672,0.34,24,Address_54,user54@email.com,Eligible
User_55,37,139074,Self-Employed,28252,783,0.1,60,Address_55,user55@email.com,Not Eligible
User_56,56,41478,Self-Employed,20261,527,0.41,60,Address_56,user56@email.com,Not Eligible
User_57,60,125978,Unemployed,6431,606,0.38,60,Address_57,user57@email.com,Eligible
User_58,24,64666,Self-Employed,14067,756,0.35,36,Address_58,user58@email.com,Eligible
User_59,22,100683,Self-Employed,42481,459,0.4,24,Address_59,user59@email.com,Eligible
User_60,26,124097,Unemployed,32037,630,0.31,12,Address_60,user60@email.com,Not Eligible
User_61,62,149714,Employed,14557,524,0.38,36,Address_61,user61@email.com,Eligible
User_62,24,125420,Employed,14435,803,0.47,12,Address_62,user62@email.com,Eligible
User_63,49,96315,Employed,42766,755,0.25,12,Address_63,user63@email.com,Not Eligible
User_64,38,102834,Unemployed,5162,344,0.38,36,Address_64,user64@email.com,Eligible
User_65,46,39153,Self-Employed,39742,513,0.29,36,Address_65,user65@email.com,Not Eligible
User_66,64,134415,Unemployed,24675,358,0.37,24,Address_66,user66@email.com,Eligible
User_67,54,101325,Unemployed,13461,494,0.41,24,Address_67,user67@email.com,Eligible
User_68,30,134701,Self-Employed,22015,788,0.12,60,Address_68,user68@email.com,Not Eligible
User_69,56,37999,Employed,37591,456,0.36,12,Address_69,user69@email.com,Eligible
User_70,34,80318,Employed,33047,525,0.19,24,Address_70,user70@email.com,Eligible
User_71,51,25814,Unemployed,39782,711,0.37,60,Address_71,user71@email.com,Eligible
User_72,35,140033,Employed,14833,504,0.29,24,Address_72,user72@email.com,Not Eligible
User_73,28,101077,Unemployed,12896,378,0.41,36,Address_73,user73@email.com,Needs Review
User_74,34,115474,Unemployed,37972,423,0.15,24,Address_74,user74@email.com,Needs Review
User_75,43,27443,Self-Employed,46800,770,0.35,12,Address_75,user75@email.com,Eligible
User_76,60,100993,Self-Employed,35508,517,0.21,24,Address_76,user76@email.com,Eligible
User_77,41,100916,Self-Employed,10347,815,0.44,12,Address_77,user77@email.com,Eligible
User_78,36,98319,Unemployed,35314,403,0.47,36,Address_78,user78@email.com,Not Eligible
User_79,38,134777,Self-Employed,7643,692,0.5,12,Address_79,user79@email.com,Eligible
User_80,44,42368,Employed,45785,733,0.42,24,Address_80,user80@email.com,Needs Review
User_81,46,40328,Employed,23681,630,0.4,60,Address_81,user81@email.com,Eligible
User_82,45,81942,Unemployed,43328,442,0.19,36,Address_82,user82@email.com,Needs Review
User_83,61,116751,Unemployed,20892,839,0.23,24,Address_83,user83@email.com,Not Eligible
User_84,49,124131,Self-Employed,22073,577,0.29,36,Address_84,user84@email.com,Not Eligible
User_85,35,52306,Unemployed,41768,532,0.41,36,Address_85,user85@email.com,Eligible
User_86,21,110451,Unemployed,35682,828,0.47,24,Address_86,user86@email.com,Eligible
User_87,45,64915,Employed,37262,389,0.18,24,Address_87,user87@email.com,Eligible
User_88,27,62219,Employed,36358,791,0.47,60,Address_88,user88@email.com,Eligible
User_89,29,105879,Self-Employed,19289,498,0.38,36,Address_89,user89@email.com,Eligible
User_90,44,136939,Unemployed,12927,661,0.34,36,Address_90,user90@email.com,Eligible
User_91,21,89644,Unemployed,6171,740,0.18,24,Address_91,user91@email.com,Eligible
User_92,64,85279,Employed,16918,325,0.12,12,Address_92,user92@email.com,Not Eligible
User_93,28,78028,Unemployed,46903,324,0.33,24,Address_93,user93@email.com,Not Eligible
User_94,44,129263,Employed,44110,693,0.36,36,Address_94,user94@email.com,Eligible
User_95,31,25126,Self-Employed,16929,806,0.18,24,Address_95,user95@email.com,Needs Review
User_96,37,77329,Employed,7539,600,0.32,60,Address_96,user96@email.com,Eligible
User_97,28,52632,Unemployed,41727,638,0.44,12,Address_97,user97@email.com,Eligible
User_98,55,132099,Self-Employed,27669,566,0.43,24,Address_98,user98@email.com,Eligible
User_99,55,90310,Employed,10432,760,0.47,60,Address_99,user99@email.com,Not Eligible
User_100,53,134945,Employed,25644,755,0.25,36,Address_100,user100@email.com,Eligible
User_101,25,80176,Self-Employed,23745,659,0.23,24,Address_101,user101@email.com,Eligible
User_102,62,144797,Self-Employed,33228,367,0.4,36,Address_102,user102@email.com,Not Eligible
User_103,59,111066,Employed,39521,711,0.27,60,Address_103,user103@email.com,Eligible
User_104,61,130500,Unemployed,36703,790,0.14,36,Address_104,user104@email.com,Not Eligible
User_105,48,69327,Employed,31928,348,0.21,60,Address_105,user105@email.com,Needs Review
User_106,27,93904,Self-Employed,23322,401,0.27,60,Address_106,user106@email.com,Needs Review
User_107,29,28797,Employed,27360,515,0.22,60,Address_107,user107@email.com,Eligible
User_108,28,72882,Self-Employed,34055,737,0.23,24,Address_108,user108@email.com,Eligible
User_109,32,38718,Self-Employed,47891,458,0.22,36,Address_109,user109@email.com,Eligible
User_110,54,59560,Unemployed,21376,788,0.12,36,Address_110,user110@email.com,Eligible
User_111,53,101589,Self-Employed,11588,541,0.35,12,Address_111,user111@email.com,Eligible
User_112,43,47116,Self-Employed,30000,304,0.34,12,Address_112,user112@email.com,Eligible
User_113,44,61244,Unemployed,11304,660,0.36,12,Address_113,user113@email.com,Needs Review
User_114,57,126721,Self-Employed,12345,758,0.18,12,Address_114,user114@email.com,Needs Review
User_115,55,26645,Unemployed,34300,547,0.22,36,Address_115,user115@email.com,Eligible
User_116,64,72523,Unemployed,29259,721,0.35,60,Address_116,user116@email.com,Eligible
User_117,60,149085,Self-Employed,30470,314,0.34,60,Address_117,user117@email.com,Eligible
User_118,42,142718,Self-Employed,28017,421,0.3,24,Address_118,user118@email.com,Eligible
User_119,47,44256,Employed,20352,576,0.24,60,Address_119,user119@email.com,Not Eligible
User_120,55,126376,Unemployed,38365,752,0.47,36,Address_120,user120@email.com,Not Eligible
User_121,21,125158,Employed,24446,689,0.24,36,Address_121,user121@email.com,Not Eligible
User_122,55,78173,Self-Employed,7336,593,0.28,36,Address_122,user122@email.com,Not Eligible
User_123,57,62430,Employed,14879,745,0.37,24,Address_123,user123@email.com,Eligible
User_124,34,64282,Unemployed,37316,509,0.32,12,Address_124,user124@email.com,Not Eligible
User_125,23,144719,Employed,38340,601,0.24,60,Address_125,user125@email.com,Eligible
User_126,21,88374,Unemployed,12521,522,0.27,36,Address_126,user126@email.com,Eligible
User_127,25,93244,Self-Employed,11171,302,0.42,36,Address_127,user127@email.com,Eligible
User_128,46,36694,Self-Employed,28481,817,0.21,12,Address_128,user128@email.com,Eligible
User_129,34,81264,Unemployed,23474,392,0.16,36,Address_129,user129@email.com,Eligible
User_130,59,100060,Self-Employed,49629,819,0.23,60,Address_130,user130@email.com,Eligible
User_131,47,122416,Self-Employed,26008,727,0.44,24,Address_131,user131@email.com,Needs Review
User_132,29,82545,Self-Employed,6633,792,0.14,36,Address_132,user132@email.com,Eligible
User_133,35,143195,Self-Employed,17485,534,0.5,60,Address_133,user133@email.com,Eligible
User_134,35,64224,Unemployed,48617,460,0.32,36,Address_134,user134@email.com,Eligible
User_135,46,127516,Employed,8648,630,0.49,12,Address_135,user135@email.com,Not Eligible
User_136,62,122945,Employed,18140,632,0.48,36,Address_136,user136@email.com,Eligible
User_137,33,38224,Self-Employed,22921,349,0.28,36,Address_137,user137@email.com,Needs Review
User_138,52,65738,Employed,19357,822,0.18,24,Address_138,user138@email.com,Not Eligible
User_139,59,50150,Employed,8137,791,0.17,12,Address_139,user139@email.com,Eligible
User_140,52,88731,Self-Employed,5097,571,0.2,12,Address_140,user140@email.com,Not Eligible
User_141,24,74688,Self-Employed,16407,551,0.38,24,Address_141,user141@email.com,Eligible
User_142,50,124929,Employed,35575,389,0.21,36,Address_142,user142@email.com,Eligible
User_143,57,133618,Unemployed,17722,745,0.24,60,Address_143,user143@email.com,Not Eligible
User_144,43,98509,Self-Employed,17924,631,0.28,12,Address_144,user144@email.com,Eligible
User_145,59,33577,Unemployed,8750,438,0.47,12,Address_145,user145@email.com,Eligible
User_146,35,33070,Employed,32733,656,0.18,36,Address_146,user146@email.com,Eligible
User_147,63,33666,Self-Employed,13535,573,0.1,36,Address_147,user147@email.com,Eligible
User_148,49,82761,Unemployed,29487,318,0.12,12,Address_148,user148@email.com,Needs Review
User_149,56,146178,Self-Employed,35651,610,0.46,36,Address_149,user149@email.com,Eligible
User_150,33,61368,Employed,9666,453,0.36,60,Address_150,user150@email.com,Not Eligible
User_151,52,31783,Unemployed,21994,689,0.21,12,Address_151,user151@email.com,Eligible
User_152,27,136530,Employed,6727,559,0.17,60,Address_152,user152@email.com,Not Eligible
User_153,42,66914,Employed,39622,424,0.22,60,Address_153,user153@email.com,Eligible
User_154,48,95507,Self-Employed,15800,653,0.15,36,Address_154,user154@email.com,Eligible
User_155,22,104026,Unemployed,42823,572,0.48,60,Address_155,user155@email.com,Not Eligible
User_156,62,140893,Employed,48039,544,0.41,36,Address_156,user156@email.com,Eligible
User_157,26,136255,Employed,23708,749,0.28,24,Address_157,user157@email.com,Eligible
User_158,48,135616,Unemployed,17819,546,0.45,36,Address_158,user158@email.com,Eligible
User_159,48,92526,Employed,14369,819,0.2,60,Address_159,user159@email.com,Not Eligible
User_160,64,95835,Employed,14283,440,0.39,24,Address_160,user160@email.com,Eligible
User_161,64,70765,Unemployed,35573,661,0.44,36,Address_161,user161@email.com,Needs Review
User_162,40,44956,Unemployed,18171,307,0.24,60,Address_162,user162@email.com,Eligible
User_163,50,112895,Unemployed,35933,777,0.4,12,Address_163,user163@email.com,Eligible
User_164,31,71240,Unemployed,10774,651,0.22,12,Address_164,user164@email.com,Not Eligible
User_165,48,146008,Self-Employed,11519,794,0.22,36,Address_165,user165@email.com,Not Eligible
User_166,45,62148,Unemployed,15983,726,0.14,36,Address_166,user166@email.com,Not Eligible
User_167,59,119270,Self-Employed,35932,338,0.28,12,Address_167,user167@email.com,Needs Review
User_168,53,29757,Self-Employed,35798,486,0.39,60,Address_168,user168@email.com,Eligible
User_169,21,44097,Self-Employed,23133,392,0.48,60,Address_169,user169@email.com,Eligible
User_170,47,35395,Employed,19939,385,0.34,60,Address_170,user170@email.com,Eligible
User_171,33,41241,Self-Employed,5781,343,0.45,36,Address_171,user171@email.com,Not Eligible
User_172,61,128892,Self-Employed,32624,436,0.43,24,Address_172,user172@email.com,Not Eligible
User_173,23,52696,Employed,11823,720,0.17,24,Address_173,user173@email.com,Eligible
User_174,59,140654,Employed,23489,373,0.29,24,Address_174,user174@email.com,Eligible
User_175,26,95480,Employed,44961,847,0.15,24,Address_175,user175@email.com,Eligible
User_176,28,71163,Unemployed,34118,811,0.37,24,Address_176,user176@email.com,Not Eligible
User_177,47,44816,Employed,39881,455,0.48,36,Address_177,user177@email.com,Eligible
User_178,29,74840,Employed,21280,554,0.15,36,Address_178,user178@email.com,Eligible
User_179,57,127547,Self-Employed,27263,470,0.39,24,Address_179,user179@email.com,Eligible
User_180,53,77853,Employed,18565,469,0.35,36,Address_180,user180@email.com,Not Eligible
User_181,62,49917,Unemployed,25354,621,0.33,36,Address_181,user181@email.com,Not Eligible
User_182,64,121731,Employed,47951,755,0.26,24,Address_182,user182@email.com,Not Eligible
User_183,44,46566,Unemployed,30643,454,0.24,60,Address_183,user183@email.com,Eligible
User_184,35,100452,Employed,28648,648,0.12,36,Address_184,user184@email.com,Eligible
User_185,52,87823,Employed,46971,750,0.19,60,Address_185,user185@email.com,Not Eligible
User_186,52,146392,Employed,23658,472,0.11,36,Address_186,user186@email.com,Needs Review
User_187,44,45806,Employed,26253,309,0.33,36,Address_187,user187@email.com,Eligible
User_188,61,100520,Unemployed,31390,564,0.14,24,Address_188,user188@email.com,Eligible
User_189,32,26759,Unemployed,28128,737,0.45,36,Address_189,user189@email.com,Eligible
User_190,59,66949,Self-Employed,18489,546,0.31,12,Address_190,user190@email.com,Eligible
User_191,22,117374,Unemployed,43314,845,0.38,12,Address_191,user191@email.com,Not Eligible
User_192,23,27482,Employed,37658,798,0.26,24,Address_192,user192@email.com,Eligible
User_193,57,49442,Self-Employed,11852,428,0.32,60,Address_193,user193@email.com,Eligible
User_194,37,58719,Self-Employed,34450,626,0.48,60,Address_194,user194@email.com,Eligible
User_195,22,83066,Self-Employed,7551,703,0.13,60,Address_195,user195@email.com,Eligible
User_196,22,118501,Employed,11411,658,0.2,12,Address_196,user196@email.com,Eligible
User_197,48,27079,Unemployed,38243,316,0.41,60,Address_197,user197@email.com,Eligible
User_198,43,27717,Employed,26800,573,0.14,60,Address_198,user198@email.com,Eligible
User_199,57,84676,Self-Employed,15403,415,0.13,24,Address_199,user199@email.com,Not Eligible
User_200,52,52952,Employed,12239,390,0.24,60,Address_200,user200@email.com,Eligible
User_201,53,111444,Employed,11710,381,0.14,12,Address_201,user201@email.com,Eligible
User_202,21,67460,Unemployed,26384,623,0.33,12,Address_202,user202@email.com,Needs Review
User_203,39,115397,Unemployed,26038,413,0.19,12,Address_203,user203@email.com,Not Eligible
User_204,22,97847,Self-Employed,45846,357,0.46,24,Address_204,user204@email.com,Not Eligible
User_205,64,118607,Employed,27447,453,0.41,24,Address_205,user205@email.com,Eligible
User_206,46,114106,Employed,7285,703,0.38,36,Address_206,user206@email.com,Eligible
User_207,52,43449,Unemployed,42991,565,0.35,60,Address_207,user207@email.com,Eligible
User_208,26,58536,Employed,18521,614,0.45,24,Address_208,user208@email.com,Eligible
User_209,52,89077,Employed,11971,340,0.19,12,Address_209,user209@email.com,Eligible
User_210,24,63258,Employed,34139,404,0.45,12,Address_210,user210@email.com,Needs Review
User_211,31,73302,Unemployed,24909,492,0.42,24,Address_211,user211@email.com,Eligible
User_212,37,53865,Self-Employed,16531,700,0.4,24,Address_212,user212@email.com,Eligible
User_213,58,31645,Self-Employed,19721,577,0.32,24,Address_213,user213@email.com,Eligible
User_214,44,144771,Employed,24206,653,0.2,36,Address_214,user214@email.com,Eligible
User_215,25,63000,Self-Employed,42711,555,0.27,12,Address_215,user215@email.com,Not Eligible
User_216,54,51737,Unemployed,11530,398,0.42,36,Address_216,user216@email.com,Eligible
User_217,26,36485,Unemployed,16116,581,0.11,36,Address_217,user217@email.com,Not Eligible
User_218,42,63565,Self-Employed,5258,702,0.41,60,Address_218,user218@email.com,Needs Review
User_219,31,50522,Self-Employed,5282,408,0.2,12,Address_219,user219@email.com,Eligible
User_220,36,144614,Employed,18937,498,0.16,12,Address_220,user220@email.com,Eligible
User_221,53,90155,Self-Employed,6898,602,0.15,24,Address_221,user221@email.com,Needs Review
User_222,29,80168,Employed,9135,626,0.11,24,Address_222,user222@email.com,Not Eligible
User_223,26,77487,Employed,11629,453,0.31,60,Address_223,user223@email.com,Eligible
User_224,36,37342,Unemployed,48936,704,0.19,36,Address_224,user224@email.com,Needs Review
User_225,49,65806,Unemployed,24584,761,0.5,24,Address_225,user225@email.com,Eligible
User_226,23,73770,Unemployed,28551,431,0.33,24,Address_226,user226@email.com,Needs Review
User_227,40,103623,Unemployed,38380,383,0.16,12,Address_227,user227@email.com,Eligible
User_228,56,128177,Self-Employed,22071,698,0.38,12,Address_228,user228@email.com,Eligible
User_229,39,124785,Unemployed,25074,408,0.46,24,Address_229,user229@email.com,Not Eligible
User_230,46,100629,Self-Employed,30188,520,0.4,12,Address_230,user230@email.com,Eligible
User_231,23,145993,Unemployed,7307,667,0.13,60,Address_231,user231@email.com,Eligible
User_232,39,77603,Self-Employed,44901,446,0.46,24,Address_232,user232@email.com,Eligible
User_233,40,137726,Employed,16205,411,0.42,12,Address_233,user233@email.com,Needs Review
User_234,52,106974,Self-Employed,10906,793,0.16,60,Address_234,user234@email.com,Not Eligible
User_235,27,130947,Self-Employed,7591,804,0.12,12,Address_235,user235@email.com,Not Eligible
User_236,61,51399,Unemployed,20149,774,0.32,12,Address_236,user236@email.com,Eligible
User_237,53,110382,Self-Employed,49918,570,0.16,12,Address_237,user237@email.com,Not Eligible
User_238,60,106244,Employed,44951,720,0.43,24,Address_238,user238@email.com,Eligible
User_239,59,134575,Employed,30150,666,0.24,36,Address_239,user239@email.com,Eligible
User_240,38,140520,Unemployed,36852,579,0.47,12,Address_240,user240@email.com,Not Eligible
User_241,60,135904,Employed,47870,582,0.33,60,Address_241,user241@email.com,Eligible
User_242,21,101534,Self-Employed,6283,339,0.17,24,Address_242,user242@email.com,Eligible
User_243,31,80106,Employed,38691,488,0.16,24,Address_243,user243@email.com,Eligible
User_244,48,137599,Unemployed,6125,463,0.33,60,Address_244,user244@email.com,Eligible
User_245,45,55678,Self-Employed,6529,835,0.4,12,Address_245,user245@email.com,Not Eligible
User_246,43,101218,Unemployed,31170,835,0.41,36,Address_246,user246@email.com,Eligible
User_247,51,88230,Self-Employed,13438,303,0.21,12,Address_247,user247@email.com,Not Eligible
User_248,50,139684,Employed,25095,589,0.18,60,Address_248,user248@email.com,Eligible
User_249,62,99055,Unemployed,21154,732,0.11,24,Address_249,user249@email.com,Eligible
User_250,55,81373,Unemployed,13004,770,0.37,36,Address_250,user250@email.com,Eligible
User_251,27,56480,Self-Employed,14752,480,0.13,24,Address_251,user251@email.com,Not Eligible
User_252,36,110230,Unemployed,48360,547,0.27,60,Address_252,user252@email.com,Not Eligible
User_253,46,93836,Self-Employed,31819,578,0.34,12,Address_253,user253@email.com,Needs Review
User_254,22,97258,Self-Employed,41632,553,0.47,36,Address_254,user254@email.com,Not Eligible
User_255,21,64986,Self-Employed,31515,480,0.22,24,Address_255,user255@email.com,Eligible
User_256,32,49160,Self-Employed,29217,808,0.2,24,Address_256,user256@email.com,Not Eligible
User_257,25,110595,Employed,28172,625,0.36,24,Address_257,user257@email.com,Needs Review
User_258,57,126358,Self-Employed,37994,656,0.35,12,Address_258,user258@email.com,Not Eligible
User_259,52,104111,Unemployed,20036,690,0.23,36,Address_259,user259@email.com,Eligible
User_260,29,89929,Employed,16739,384,0.47,12,Address_260,user260@email.com,Eligible
User_261,61,98506,Unemployed,37220,616,0.44,12,Address_261,user261@email.com,Not Eligible
User_262,55,59911,Employed,14587,511,0.19,12,Address_262,user262@email.com,Not Eligible
User_263,39,112127,Self-Employed,49517,814,0.2,60,Address_263,user263@email.com,Eligible
User_264,36,56821,Employed,35129,683,0.3,60,Address_264,user264@email.com,Not Eligible
User_265,23,100039,Employed,5645,641,0.41,60,Address_265,user265@email.com,Needs Review
User_266,40,85535,Unemployed,35930,337,0.12,36,Address_266,user266@email.com,Eligible
User_267,44,138453,Unemployed,21299,810,0.38,12,Address_267,user267@email.com,Not Eligible
User_268,53,109458,Self-Employed,35090,719,0.36,12,Address_268,user268@email.com,Eligible
User_269,44,37175,Employed,26953,468,0.19,60,Address_269,user269@email.com,Eligible
User_270,31,144235,Employed,31475,642,0.37,12,Address_270,user270@email.com,Eligible
User_271,28,79771,Employed,23888,605,0.48,12,Address_271,user271@email.com,Eligible
User_272,56,131660,Self-Employed,48732,841,0.12,24,Address_272,user272@email.com,Not Eligible
User_273,58,146300,Self-Employed,21087,836,0.23,12,Address_273,user273@email.com,Eligible
User_274,60,111925,Self-Employed,14346,411,0.28,24,Address_274,user274@email.com,Eligible
User_275,40,138374,Self-Employed,5587,710,0.46,12,Address_275,user275@email.com,Eligible
User_276,55,91358,Self-Employed,17763,505,0.48,36,Address_276,user276@email.com,Eligible
User_277,45,42327,Unemployed,46945,484,0.28,60,Address_277,user277@email.com,Eligible
User_278,55,72057,Employed,9079,681,0.4,24,Address_278,user278@email.com,Not Eligible
User_279,45,31150,Employed,41116,795,0.31,60,Address_279,user279@email.com,Eligible
User_280,49,29425,Employed,25215,678,0.32,24,Address_280,user280@email.com,Not Eligible
User_281,38,148654,Employed,30817,346,0.21,24,Address_281,user281@email.com,Not Eligible
User_282,38,41032,Employed,29765,827,0.19,24,Address_282,user282@email.com,Eligible
User_283,22,27198,Employed,35112,803,0.22,36,Address_283,user283@email.com,Not Eligible
User_284,55,85500,Employed,30556,321,0.32,12,Address_284,user284@email.com,Eligible
User_285,36,78394,Employed,23099,512,0.11,24,Address_285,user285@email.com,Eligible
User_286,61,45079,Unemployed,48553,609,0.46,36,Address_286,user286@email.com,Eligible
User_287,56,61220,Employed,11450,571,0.16,24,Address_287,user287@email.com,Eligible
User_288,53,66874,Unemployed,18230,501,0.19,12,Address_288,user288@email.com,Eligible
User_289,24,38859,Self-Employed,34009,331,0.31,24,Address_289,user289@email.com,Not Eligible
User_290,53,75460,Employed,10433,742,0.38,36,Address_290,user290@email.com,Eligible
User_291,34,56419,Self-Employed,38866,461,0.14,12,Address_291,user291@email.com,Not Eligible
User_292,41,143865,Self-Employed,44864,553,0.23,36,Address_292,user292@email.com,Eligible
User_293,40,33705,Self-Employed,23710,820,0.49,12,Address_293,user293@email.com,Not Eligible
User_294,28,67880,Unemployed,16439,779,0.2,12,Address_294,user294@email.com,Eligible
User_295,27,48236,Self-Employed,46855,309,0.23,60,Address_295,user295@email.com,Eligible
User_296,23,112955,Self-Employed,21021,804,0.43,60,Address_296,user296@email.com,Eligible
User_297,37,110514,Self-Employed,11416,735,0.12,60,Address_297,user297@email.com,Eligible
User_298,53,128145,Employed,11980,410,0.29,12,Address_298,user298@email.com,Eligible
User_299,32,40358,Employed,23058,452,0.25,24,Address_299,user299@email.com,Not Eligible
User_300,42,124713,Unemployed,16101,401,0.23,36,Address_300,user300@email.com,Eligible
User_301,42,119914,Unemployed,45718,490,0.21,36,Address_301,user301@email.com,Not Eligible
User_302,50,127870,Employed,37602,380,0.14,36,Address_302,user302@email.com,Not Eligible
User_303,58,101918,Unemployed,14122,788,0.23,60,Address_303,user303@email.com,Not Eligible
User_304,58,144179,Employed,17576,387,0.12,12,Address_304,user304@email.com,Eligible
User_305,28,141243,Self-Employed,32516,493,0.41,60,Address_305,user305@email.com,Eligible
User_306,47,39596,Self-Employed,27433,403,0.26,24,Address_306,user306@email.com,Needs Review
User_307,47,58572,Unemployed,6089,395,0.28,12,Address_307,user307@email.com,Not Eligible
User_308,54,103757,Employed,42346,722,0.46,36,Address_308,user308@email.com,Eligible
User_309,41,26279,Employed,14127,497,0.36,60,Address_309,user309@email.com,Eligible
User_310,50,88197,Unemployed,15487,300,0.1,60,Address_310,user310@email.com,Eligible
User_311,53,136496,Employed,5155,706,0.48,24,Address_311,user311@email.com,Eligible
User_312,48,87516,Self-Employed,6958,677,0.19,24,Address_312,user312@email.com,Not Eligible
User_313,53,32083,Unemployed,15693,466,0.14,60,Address_313,user313@email.com,Eligible
User_314,25,145674,Unemployed,44112,808,0.41,24,Address_314,user314@email.com,Eligible
User_315,39,145307,Employed,43547,612,0.3,36,Address_315,user315@email.com,Eligible
User_316,24,134397,Unemployed,33795,717,0.27,24,Address_316,user316@email.com,Eligible
User_317,55,42771,Employed,26447,776,0.2,24,Address_317,user317@email.com,Not Eligible
User_318,37,54975,Employed,41598,372,0.32,60,Address_318,user318@email.com,Not Eligible
User_319,64,70648,Employed,46814,440,0.21,60,Address_319,user319@email.com,Eligible
